date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:59	1242/1242	---M--	200	added ('OK')	image/png	etag:%224da-5dca664ef3b62%22	https://rooicell.co.kr/images/common/footer_sns_y.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/footer_sns_y.png	(from https://rooicell.co.kr/)
16:17:59	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5dca664ed62b9%22	https://rooicell.co.kr/images/common/footer_sns_i.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/footer_sns_i.png	(from https://rooicell.co.kr/)
16:18:00	46285/46285	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:59%20GMT	https://rooicell.co.kr/section%20.sec_title_g%20.link_g%20.view_more%20.txt	C:/rooicel/rooicel/rooicell.co.kr/section%20.sec_title_g%20.link_g%20.view_more%20.html	(from https://rooicell.co.kr/)
16:18:00	1934/1934	---MCZ	200	added ('OK')	text/css	etag:W/%2278e-5dca6645f0cf5%22	https://rooicell.co.kr/css/font.css	C:/rooicel/rooicel/rooicell.co.kr/css/font.css	(from https://rooicell.co.kr/css/common.css?v=20220128)
16:18:00	158105/158105	---M--	200	added ('OK')	image/jpeg	etag:%2226999-5dca664e55c05%22	https://rooicell.co.kr/images/common/allmenu_bg.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/common/allmenu_bg.jpg	(from https://rooicell.co.kr/css/common.css?v=20220128)
16:18:00	46285/46285	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:00%20GMT	https://rooicell.co.kr/img/page/find_idpw_popup.jpg	C:/rooicel/rooicel/rooicell.co.kr/img/page/find_idpw_popup.html	(from https://rooicell.co.kr/css/common.css?v=20220128)
16:18:00	46285/46285	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:00%20GMT	https://rooicell.co.kr/images/common/cursor_prev.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/cursor_prev.html	(from https://rooicell.co.kr/css/common.css?v=20220128)
16:18:01	46285/46285	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:18:00%20GMT	https://rooicell.co.kr/images/common/cursor_next.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/cursor_next.html	(from https://rooicell.co.kr/css/common.css?v=20220128)
16:18:01	1390/1390	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e-5dca6663c3e00%22	https://rooicell.co.kr/js/style.js?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/js/stylebfee.js	(from https://rooicell.co.kr/m11.php)
16:18:01	38349/38349	---MCZ	200	added ('OK')	text/css	etag:W/%2295cd-5e5f122785ed5%22	https://rooicell.co.kr/css/style_pc.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/style_pcbfee.css	(from https://rooicell.co.kr/m11.php)
16:18:01	37180/37180	---MCZ	200	added ('OK')	text/css	etag:W/%22913c-5deb6e26ceb59%22	https://rooicell.co.kr/css/style_tablet.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/style_tabletbfee.css	(from https://rooicell.co.kr/m11.php)
16:18:02	37214/37214	---MCZ	200	added ('OK')	text/css	etag:W/%22915e-5deb6e29ad16d%22	https://rooicell.co.kr/css/style_mobile.css?v=20220128	C:/rooicel/rooicel/rooicell.co.kr/css/style_mobilebfee.css	(from https://rooicell.co.kr/m11.php)
